id,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
165134,709,0,1,36.0,3,0.0,2,0.0,1.0,176750.81
165135,548,2,0,37.0,2,0.0,2,1.0,0.0,91406.62
165136,569,0,1,29.0,4,0.0,2,1.0,1.0,123825.54
165137,523,2,0,38.0,10,0.0,1,1.0,0.0,131919.49
165138,590,0,0,50.0,3,0.0,1,1.0,1.0,172097.4
165139,584,1,0,39.0,8,127763.24,1,0.0,0.0,158742.89
165140,584,0,1,44.0,2,0.0,2,0.0,0.0,159891.16
165141,683,0,0,32.0,1,0.0,2,1.0,0.0,75762.0
165142,644,2,1,31.0,2,0.0,2,1.0,1.0,176750.81
165143,613,0,1,33.0,3,73488.02,1,1.0,0.0,86061.0
165144,682,1,0,35.0,6,139986.54,1,1.0,1.0,94811.85
165145,710,1,0,43.0,2,91546.74,1,1.0,1.0,51454.06
165146,741,0,0,35.0,8,0.0,1,1.0,1.0,152843.53
165147,676,2,1,41.0,9,0.0,2,0.0,0.0,59676.14
165148,523,1,1,41.0,4,115217.99,2,0.0,1.0,172572.64
165149,624,2,0,40.0,3,0.0,2,1.0,1.0,51705.02
165150,652,0,1,26.0,6,0.0,2,1.0,0.0,107970.8
165151,598,1,1,50.0,1,108410.87,2,1.0,0.0,107964.36
165152,523,1,1,47.0,3,120176.23,1,1.0,1.0,173680.43
165153,667,1,1,26.0,7,126815.97,2,1.0,0.0,172501.38
165154,581,0,1,34.0,9,0.0,2,0.0,0.0,149525.78
165155,554,0,1,40.0,7,0.0,2,0.0,1.0,149913.71
165156,678,0,1,38.0,7,0.0,2,1.0,1.0,171575.54
165157,585,0,0,40.0,5,0.0,2,1.0,1.0,141822.66
165158,651,2,1,45.0,10,135923.16,1,1.0,0.0,20955.03
165159,568,0,0,37.0,2,111835.94,2,1.0,0.0,84475.13
165160,754,2,0,26.0,8,0.0,2,0.0,0.0,121821.16
165161,749,0,1,34.0,4,0.0,2,1.0,0.0,66810.48
165162,622,1,0,42.0,2,129840.56,1,1.0,0.0,92888.51
165163,624,0,0,38.0,6,0.0,2,1.0,1.0,141446.13
165164,624,0,0,38.0,2,0.0,2,1.0,1.0,167553.52
165165,598,1,0,31.0,0,139986.54,2,1.0,0.0,113482.2
165166,736,1,0,50.0,7,116498.22,1,1.0,0.0,120511.03
165167,554,1,0,29.0,10,139986.54,2,0.0,1.0,75582.25
165168,600,1,1,36.0,4,135157.05,2,1.0,1.0,143635.36
165169,699,2,1,28.0,8,123925.23,1,0.0,0.0,111342.66
165170,731,2,0,37.0,2,128932.4,1,1.0,1.0,176750.81
165171,754,0,1,50.0,8,0.0,2,1.0,1.0,171344.31
165172,716,0,0,46.0,1,0.0,1,1.0,1.0,76637.38
165173,676,1,0,33.0,8,110148.74,2,1.0,0.0,171740.59
165174,590,0,1,39.0,5,0.0,2,0.0,1.0,140889.32
165175,724,2,0,41.0,2,0.0,2,0.0,0.0,176750.81
165176,616,0,1,35.0,1,0.0,2,1.0,0.0,85736.26
165177,530,2,1,43.0,4,0.0,2,1.0,1.0,122453.09
165178,754,2,1,48.0,3,0.0,1,1.0,1.0,54477.66
165179,584,0,0,41.0,4,0.0,1,1.0,0.0,145562.4
165180,587,0,1,38.0,5,139986.54,2,1.0,1.0,118546.26
165181,537,2,1,50.0,1,0.0,1,1.0,0.0,176750.81
165182,595,2,0,33.0,7,139986.54,1,1.0,0.0,164017.89
165183,602,0,1,35.0,2,90602.42,2,1.0,1.0,51695.41
165184,684,0,1,41.0,9,0.0,2,0.0,0.0,151325.16
165185,730,0,0,30.0,1,0.0,2,0.0,0.0,20955.03
165186,656,2,0,31.0,7,0.0,2,1.0,1.0,97938.59
165187,684,0,0,50.0,2,0.0,2,1.0,0.0,121405.05
165188,668,0,0,50.0,3,0.0,1,1.0,0.0,173912.29
165189,652,2,0,36.0,5,0.0,2,1.0,1.0,159718.27
165190,692,0,0,28.0,8,0.0,2,0.0,1.0,44420.18
165191,646,0,1,35.0,5,0.0,1,0.0,1.0,75584.48
165192,579,0,1,38.0,8,71996.09,1,1.0,0.0,82559.77
165193,754,0,1,45.0,2,0.0,2,1.0,0.0,161465.31
165194,545,0,0,43.0,8,82797.48,1,1.0,1.0,172527.49
165195,580,0,1,50.0,2,125921.37,2,1.0,1.0,94677.83
165196,681,0,0,40.0,6,0.0,1,1.0,1.0,106977.8
165197,571,1,0,44.0,9,102277.52,1,1.0,0.0,91565.25
165198,714,0,0,50.0,6,0.0,1,0.0,1.0,137898.57
165199,666,0,1,27.0,5,0.0,1,1.0,1.0,64511.44
165200,597,0,0,34.0,3,0.0,1,1.0,0.0,152876.66
165201,682,1,0,41.0,2,129845.33,1,0.0,0.0,20955.03
165202,674,1,0,45.0,6,139986.54,1,1.0,0.0,92794.61
165203,679,0,0,50.0,7,121669.93,1,0.0,0.0,166038.27
165204,539,1,1,40.0,4,121260.19,1,1.0,0.0,176750.81
165205,710,0,1,36.0,1,0.0,2,1.0,0.0,145562.4
165206,707,0,0,32.0,1,139986.54,1,1.0,0.0,108731.02
165207,567,1,0,40.0,8,101100.13,2,1.0,1.0,20955.03
165208,633,0,1,31.0,2,0.0,2,1.0,0.0,176750.81
165209,607,1,1,38.0,3,132571.65,1,1.0,1.0,62368.33
165210,633,0,1,50.0,9,0.0,2,0.0,0.0,136983.77
165211,657,0,1,50.0,0,0.0,1,1.0,0.0,147964.78
165212,724,0,0,26.0,5,99169.67,1,1.0,1.0,111687.57
165213,754,0,1,26.0,8,0.0,2,1.0,0.0,113868.4
165214,754,0,0,50.0,9,0.0,1,0.0,0.0,77705.75
165215,738,2,1,39.0,7,0.0,1,1.0,0.0,176750.81
165216,718,0,1,41.0,3,0.0,2,0.0,0.0,142913.98
165217,718,0,1,33.0,7,0.0,2,1.0,1.0,176750.81
165218,523,2,1,36.0,9,0.0,2,1.0,1.0,145562.4
165219,669,0,0,47.0,0,0.0,1,1.0,0.0,176750.81
165220,660,0,0,38.0,7,0.0,1,0.0,1.0,146585.53
165221,754,0,0,41.0,8,0.0,2,1.0,0.0,64731.9
165222,651,1,0,36.0,2,118336.89,2,0.0,0.0,94937.85
165223,638,0,1,33.0,8,0.0,1,1.0,1.0,151421.32
165224,684,2,1,27.0,0,139986.54,1,1.0,1.0,52310.29
165225,552,1,1,50.0,5,136855.94,1,0.0,0.0,176750.81
165226,593,0,1,47.0,7,0.0,1,1.0,0.0,161822.44
165227,703,0,1,40.0,0,95252.72,1,1.0,0.0,176750.81
165228,684,2,0,37.0,9,116932.53,1,1.0,0.0,124626.57
165229,651,0,1,50.0,6,0.0,2,0.0,0.0,85891.02
165230,703,1,0,45.0,8,139986.54,2,0.0,1.0,43846.31
165231,754,2,1,41.0,8,0.0,2,1.0,1.0,176750.81
165232,638,0,1,29.0,6,0.0,2,1.0,1.0,166957.82
165233,683,0,0,38.0,1,0.0,2,1.0,0.0,96590.39
165234,656,1,1,29.0,6,132578.92,1,0.0,1.0,66548.46
165235,648,0,0,34.0,3,0.0,2,1.0,1.0,142330.24
165236,589,1,1,41.0,3,139986.54,1,1.0,0.0,146875.86
165237,651,0,0,26.0,9,0.0,2,1.0,1.0,126761.2
165238,523,0,0,33.0,6,131698.57,2,1.0,0.0,151623.71
165239,633,2,0,39.0,3,0.0,2,1.0,1.0,20955.03
165240,662,0,1,38.0,3,0.0,2,1.0,1.0,143981.29
165241,593,0,0,26.0,2,0.0,2,1.0,1.0,76197.05
165242,523,2,0,36.0,8,129667.77,1,1.0,0.0,42028.16
165243,705,2,1,36.0,3,0.0,2,0.0,0.0,129576.99
165244,754,1,0,44.0,10,98298.18,1,1.0,0.0,21645.06
165245,741,2,1,33.0,5,0.0,2,1.0,1.0,176750.81
165246,697,2,0,34.0,10,127201.58,1,1.0,1.0,82290.61
165247,754,2,0,40.0,8,0.0,2,1.0,1.0,69080.46
165248,754,2,1,40.0,3,0.0,2,1.0,0.0,72854.65
165249,724,2,0,37.0,0,0.0,1,1.0,1.0,148087.62
165250,644,2,0,34.0,2,0.0,2,1.0,1.0,172665.21
165251,583,0,1,37.0,1,0.0,2,1.0,1.0,163471.01
165252,599,1,1,36.0,9,84445.68,1,1.0,0.0,132547.02
165253,648,1,0,43.0,1,107963.38,2,0.0,1.0,176750.81
165254,594,2,1,34.0,5,0.0,2,1.0,0.0,75562.47
165255,708,2,1,38.0,6,0.0,1,1.0,1.0,61636.38
165256,529,0,0,38.0,9,98365.33,1,1.0,0.0,155516.35
165257,689,2,1,37.0,8,139986.54,1,1.0,1.0,176750.81
165258,746,0,0,26.0,2,0.0,2,1.0,1.0,146573.66
165259,588,0,0,36.0,7,0.0,1,1.0,0.0,81452.37
165260,754,1,0,50.0,3,135290.42,1,1.0,1.0,63729.72
165261,653,1,1,49.0,1,139986.54,1,1.0,0.0,147824.73
165262,718,0,1,49.0,3,100374.52,1,1.0,0.0,159414.62
165263,712,0,1,40.0,7,0.0,2,1.0,1.0,121232.51
165264,754,2,1,26.0,5,136659.04,1,1.0,1.0,116471.06
165265,523,0,1,27.0,2,0.0,2,1.0,0.0,20955.03
165266,754,0,1,30.0,8,0.0,2,1.0,1.0,176750.81
165267,573,0,0,42.0,8,0.0,1,1.0,1.0,20955.03
165268,593,1,0,32.0,4,113034.31,2,1.0,0.0,62768.9
165269,530,2,0,49.0,2,0.0,1,1.0,1.0,85523.24
165270,523,0,1,38.0,4,0.0,1,1.0,0.0,28197.75
165271,684,0,0,31.0,3,0.0,2,1.0,0.0,176750.81
165272,667,1,1,46.0,4,130169.39,2,1.0,0.0,160968.44
165273,523,0,0,40.0,4,0.0,2,0.0,1.0,145792.01
165274,628,0,0,37.0,3,132670.53,2,1.0,1.0,176750.81
165275,584,1,1,41.0,2,101985.81,2,0.0,0.0,43801.27
165276,644,0,0,26.0,3,126059.3,1,1.0,0.0,143086.43
165277,616,0,0,34.0,5,0.0,1,1.0,0.0,176750.81
165278,634,2,0,50.0,7,0.0,1,1.0,0.0,83681.97
165279,675,2,1,40.0,0,103516.87,2,1.0,0.0,108887.44
165280,544,2,1,31.0,1,0.0,2,1.0,0.0,152577.62
165281,685,2,0,32.0,5,0.0,2,1.0,1.0,133659.62
165282,735,2,1,43.0,7,139986.54,1,1.0,1.0,120830.73
165283,581,2,1,32.0,8,0.0,2,1.0,1.0,20955.03
165284,711,1,0,38.0,9,124576.65,1,0.0,1.0,149894.4
165285,683,1,1,39.0,7,104930.58,2,1.0,0.0,132038.94
165286,613,0,1,42.0,5,118866.89,1,1.0,1.0,85811.32
165287,591,0,1,32.0,3,0.0,2,1.0,0.0,121440.8
165288,754,0,0,40.0,3,0.0,2,1.0,1.0,90876.95
165289,523,0,0,26.0,6,0.0,2,0.0,0.0,89566.64
165290,754,2,1,44.0,1,0.0,2,1.0,1.0,158887.09
165291,594,0,1,50.0,5,0.0,2,1.0,1.0,176750.81
165292,631,1,1,39.0,8,89974.69,2,1.0,0.0,129964.18
165293,603,1,0,37.0,2,128015.83,1,0.0,0.0,174800.31
165294,575,2,1,33.0,3,0.0,2,1.0,1.0,112928.74
165295,634,0,0,31.0,4,0.0,1,1.0,1.0,145537.36
165296,725,0,0,27.0,1,125562.93,1,1.0,1.0,115818.24
165297,616,0,1,31.0,7,121365.39,1,1.0,1.0,120314.75
165298,699,0,1,28.0,2,106871.81,2,1.0,1.0,74850.84
165299,701,2,1,50.0,9,0.0,2,1.0,1.0,26327.42
165300,751,0,0,39.0,2,0.0,1,1.0,0.0,176750.81
165301,611,0,1,37.0,10,139986.54,1,1.0,1.0,82872.64
165302,667,2,0,35.0,7,0.0,1,1.0,0.0,161409.55
165303,648,0,0,29.0,7,88743.09,1,1.0,1.0,57949.41
165304,523,0,1,26.0,3,0.0,2,1.0,1.0,85891.02
165305,611,0,1,32.0,7,0.0,2,1.0,1.0,110782.88
165306,667,1,1,31.0,9,101506.67,2,1.0,1.0,45613.75
165307,544,0,1,37.0,8,139986.54,1,1.0,0.0,176750.81
165308,595,0,0,29.0,9,0.0,2,0.0,0.0,126473.33
165309,715,2,1,31.0,7,0.0,1,1.0,0.0,149970.59
165310,594,2,0,33.0,3,113829.45,2,1.0,0.0,176750.81
165311,621,0,1,30.0,1,81732.96,1,0.0,0.0,101397.65
165312,669,0,1,50.0,8,0.0,1,0.0,0.0,79559.04
165313,714,0,1,36.0,7,0.0,2,0.0,0.0,166476.18
165314,628,2,1,35.0,4,0.0,2,0.0,0.0,134483.73
165315,633,0,0,44.0,1,0.0,2,1.0,0.0,112928.74
165316,709,1,1,35.0,9,111061.01,1,1.0,1.0,58883.91
165317,554,0,1,30.0,6,0.0,2,1.0,1.0,73857.94
165318,684,0,1,46.0,3,0.0,1,1.0,0.0,118862.08
165319,754,2,1,31.0,0,139986.54,1,0.0,0.0,175643.44
165320,648,2,1,37.0,1,0.0,2,1.0,0.0,22404.64
165321,754,0,0,27.0,10,89364.91,1,1.0,0.0,167522.19
165322,528,2,1,26.0,7,97473.87,2,1.0,0.0,159823.16
165323,681,0,1,42.0,1,0.0,2,1.0,0.0,100601.73
165324,525,0,0,50.0,6,0.0,2,1.0,1.0,83342.73
165325,549,0,0,37.0,8,120905.03,1,0.0,0.0,176750.81
165326,754,2,0,38.0,9,0.0,1,1.0,0.0,78744.39
165327,754,0,1,36.0,1,139986.54,1,0.0,0.0,79176.05
165328,632,2,0,50.0,1,0.0,2,1.0,1.0,176750.81
165329,754,0,1,34.0,3,0.0,2,1.0,0.0,147060.4
165330,611,1,1,34.0,1,139986.54,1,1.0,1.0,118716.63
165331,645,0,0,43.0,5,0.0,2,1.0,1.0,120893.85
165332,550,1,0,37.0,5,118400.91,1,0.0,0.0,20955.03
165333,619,2,1,26.0,5,0.0,2,0.0,0.0,176750.81
165334,613,0,1,32.0,1,0.0,2,1.0,1.0,63795.73
165335,573,0,1,35.0,2,0.0,2,1.0,0.0,74430.0
165336,730,2,0,43.0,3,0.0,2,1.0,0.0,86410.58
165337,559,0,1,38.0,4,0.0,1,0.0,1.0,38019.86
165338,730,1,1,33.0,7,130367.87,1,1.0,0.0,20955.03
165339,708,0,0,36.0,4,90218.0,1,0.0,0.0,123977.17
165340,592,0,1,30.0,4,93816.43,1,1.0,0.0,170932.9
165341,707,0,1,46.0,5,0.0,2,1.0,1.0,76946.6
165342,668,0,1,35.0,8,0.0,2,0.0,0.0,79377.45
165343,685,2,1,30.0,9,0.0,2,1.0,1.0,173632.96
165344,752,0,1,26.0,5,121681.91,1,1.0,0.0,77832.82
165345,640,0,1,40.0,6,134442.56,1,1.0,1.0,135842.24
165346,724,1,0,50.0,3,125544.52,1,1.0,0.0,121365.39
165347,745,1,0,35.0,1,134571.5,1,1.0,1.0,116581.1
165348,743,0,0,37.0,4,0.0,2,0.0,0.0,67611.36
165349,589,0,1,30.0,7,0.0,1,1.0,1.0,35770.84
165350,663,0,1,32.0,9,0.0,2,1.0,1.0,131736.23
165351,626,0,0,38.0,8,133968.96,2,1.0,0.0,148689.65
165352,644,2,1,39.0,1,0.0,2,1.0,0.0,166677.54
165353,754,0,0,28.0,4,0.0,2,1.0,1.0,20955.03
165354,739,0,0,36.0,7,81844.91,2,1.0,0.0,143835.76
165355,684,1,1,26.0,0,121063.8,2,1.0,0.0,138780.04
165356,585,2,0,38.0,1,0.0,2,1.0,1.0,64872.33
165357,715,0,1,38.0,0,133436.52,1,1.0,1.0,176750.81
165358,754,0,0,40.0,6,83415.04,1,1.0,1.0,74917.64
165359,624,0,0,30.0,8,0.0,2,1.0,0.0,121151.46
165360,719,0,0,49.0,5,0.0,2,1.0,1.0,20955.03
165361,558,0,0,36.0,3,0.0,2,1.0,0.0,129975.94
165362,526,0,1,50.0,1,0.0,1,1.0,1.0,126281.83
165363,628,1,1,39.0,2,122398.38,2,1.0,0.0,168186.11
165364,718,2,0,38.0,1,0.0,2,1.0,1.0,124592.79
165365,686,0,0,38.0,6,0.0,2,0.0,0.0,112442.63
165366,732,0,1,31.0,8,0.0,2,1.0,1.0,60908.52
165367,687,1,0,43.0,4,133436.58,2,1.0,1.0,126131.9
165368,724,0,0,30.0,9,0.0,1,1.0,1.0,50899.91
165369,523,1,0,40.0,4,137742.9,1,0.0,0.0,141946.92
165370,599,2,1,49.0,2,0.0,2,1.0,0.0,111190.53
165371,754,2,1,27.0,8,0.0,2,1.0,1.0,130189.35
165372,754,0,0,32.0,2,139986.54,1,1.0,1.0,136915.15
165373,662,0,0,37.0,5,0.0,2,0.0,1.0,71173.64
165374,711,1,0,46.0,9,115576.63,1,0.0,1.0,176750.81
165375,754,2,0,26.0,8,0.0,2,1.0,0.0,176750.81
165376,615,0,1,34.0,2,0.0,2,1.0,0.0,166678.51
165377,727,0,1,30.0,1,0.0,2,1.0,1.0,141860.62
165378,605,0,0,34.0,8,111098.85,1,1.0,0.0,156858.2
165379,588,0,1,36.0,2,0.0,2,0.0,0.0,176750.81
165380,754,0,0,33.0,6,138053.67,1,1.0,0.0,148779.41
165381,627,2,0,45.0,3,0.0,2,1.0,1.0,94978.1
165382,748,0,1,31.0,2,0.0,2,1.0,1.0,107616.64
165383,543,0,1,31.0,5,0.0,2,0.0,1.0,92840.67
165384,663,0,0,35.0,7,0.0,2,1.0,0.0,102986.15
165385,640,2,1,34.0,1,139986.54,1,0.0,0.0,24761.36
165386,546,1,0,50.0,3,106458.31,2,1.0,0.0,128881.87
165387,586,2,1,35.0,7,0.0,2,0.0,1.0,126517.46
165388,579,0,1,33.0,2,0.0,1,1.0,0.0,94993.04
165389,583,2,0,40.0,4,0.0,2,0.0,0.0,114093.73
165390,669,0,0,45.0,4,0.0,1,1.0,1.0,57553.06
165391,662,0,1,36.0,5,0.0,2,1.0,1.0,64839.57
165392,736,0,1,36.0,7,116275.12,2,0.0,1.0,63795.8
165393,595,0,0,28.0,6,132627.9,2,1.0,0.0,117633.73
165394,754,0,1,37.0,10,130969.77,1,0.0,0.0,122273.33
165395,675,0,1,26.0,3,0.0,2,0.0,1.0,79734.23
165396,603,0,0,34.0,8,0.0,2,1.0,0.0,91092.84
165397,674,2,0,27.0,3,0.0,2,1.0,0.0,70778.62
165398,561,2,0,37.0,10,0.0,1,1.0,0.0,20955.03
165399,581,0,0,38.0,10,0.0,2,1.0,0.0,155879.57
165400,609,1,1,37.0,6,129289.98,2,0.0,1.0,176750.81
165401,589,1,1,34.0,4,137794.18,2,1.0,0.0,86490.09
165402,754,0,0,47.0,0,123040.38,1,1.0,1.0,62487.97
165403,632,0,0,41.0,4,0.0,2,1.0,1.0,136615.32
165404,596,2,1,39.0,5,139986.54,1,1.0,1.0,31714.08
165405,682,0,1,33.0,1,0.0,1,1.0,0.0,165038.41
165406,659,1,1,30.0,6,125169.7,2,1.0,0.0,82870.14
165407,710,0,1,36.0,8,139986.54,1,0.0,1.0,83256.26
165408,538,2,1,50.0,6,128152.81,1,1.0,1.0,176750.81
165409,682,2,1,33.0,3,0.0,2,1.0,1.0,129964.5
165410,543,0,1,41.0,6,0.0,2,1.0,1.0,72467.38
165411,754,0,1,43.0,6,0.0,2,1.0,1.0,151623.67
165412,523,0,1,33.0,9,0.0,2,0.0,0.0,133692.88
165413,654,0,1,31.0,7,0.0,2,1.0,1.0,20955.03
165414,675,0,0,45.0,6,0.0,2,1.0,1.0,103872.42
165415,625,0,1,41.0,3,79551.12,1,1.0,1.0,176750.81
165416,583,1,0,46.0,6,135125.28,1,1.0,0.0,89801.9
165417,725,0,0,29.0,9,0.0,2,1.0,1.0,98896.06
165418,561,0,0,36.0,4,0.0,2,1.0,1.0,86764.46
165419,754,1,0,43.0,8,139986.54,1,1.0,0.0,147040.25
165420,646,0,1,34.0,9,96776.49,1,1.0,1.0,119890.86
165421,523,2,0,50.0,2,0.0,2,0.0,0.0,176750.81
165422,754,0,1,39.0,9,0.0,2,0.0,1.0,141069.21
165423,754,0,0,32.0,6,0.0,2,1.0,1.0,126145.54
165424,706,0,1,30.0,7,0.0,2,0.0,0.0,176750.81
165425,754,1,0,40.0,4,107648.94,1,0.0,0.0,134638.97
165426,678,0,1,40.0,2,139986.54,1,1.0,1.0,172096.63
165427,551,0,1,28.0,10,117873.21,1,1.0,0.0,101491.86
165428,725,1,1,33.0,9,103564.83,1,0.0,0.0,176750.81
165429,599,0,0,43.0,1,0.0,1,1.0,1.0,170347.1
165430,726,1,0,33.0,7,99046.31,2,1.0,1.0,56053.06
165431,684,0,1,41.0,4,97705.99,1,1.0,1.0,113926.31
165432,754,2,0,50.0,3,0.0,2,1.0,0.0,132417.24
165433,625,1,0,50.0,2,121063.57,1,1.0,0.0,121537.59
165434,754,0,0,46.0,4,0.0,1,1.0,0.0,171045.66
165435,754,2,0,33.0,5,139986.54,1,0.0,0.0,79555.08
165436,678,0,0,30.0,7,0.0,1,1.0,0.0,171681.86
